ordre 5000
E 0 774
E 0 2073
E 0 3092
E 0 4235
E 0 4386
E 0 4483
E 0 4551
E 0 4737
E 1 345
E 1 602
E 1 1946
E 1 2805
E 2 480
E 2 517
E 2 1821
E 2 3983
E 3 379
E 3 912
E 3 2258
E 3 2291
E 3 3959
E 4 467
E 4 1786
E 4 2353
E 4 2381
E 4 2745
E 4 3533
E 4 4512
E 5 1555
E 5 1789
E 5 2581
E 5 3187
E 5 3974
E 5 4011
E 6 22
E 6 601
E 6 1820
E 6 2909
E 6 4685
E 7 891
E 7 4675
E 8 1118
E 8 1152
E 9 350
E 9 2980
E 9 4751
E 10 306
E 10 1079
E 10 1837
E 10 2309
E 10 3411
E 10 4178
E 10 4901
E 11 665
E 11 1456
E 11 1638
E 11 2594
E 11 2887
E 11 3220
E 11 3720
E 11 3983
E 11 4984
E 12 571
E 12 1210
E 12 1421
E 12 2591
E 12 3305
E 12 3792
E 13 2891
E 13 3743
E 13 4054
E 13 4115
E 14 2261
E 14 2417
E 14 2560
E 14 2724
E 14 3956
E 14 4049
E 14 4059
E 15 1072
E 15 1508
E 15 1518
E 15 2330
E 15 4823
E 16 1009
E 16 1361
E 16 1626
E 16 1705
E 16 3638
E 16 3761
E 16 4506
E 17 764
E 17 1837
E 17 1962
E 17 2071
E 17 3686
E 17 4099
E 17 4705
E 18 526
E 18 4011
E 19 96
E 19 847
E 19 1383
E 19 3850
E 19 4521
E 21 202
E 21 2167
E 21 2985
E 21 3174
E 22 2338
E 22 2689
E 22 3522
E 22 3757
E 22 3900
E 22 4173
E 23 16
E 23 850
E 23 1748
E 23 3134
E 23 3756
E 23 4884
E 24 478
E 24 1369
E 24 2005
E 24 2589
E 24 3295
E 24 3815
E 24 4074
E 25 1692
E 25 2357
E 25 2982
E 26 1081
E 26 3006
E 27 1279
E 28 821
E 28 2257
E 28 2572
E 28 2930
E 28 4671
E 28 4773
E 29 780
E 29 1053
E 29 2458
E 29 3729
E 29 3953
E 29 4576
E 29 4737
E 30 315
E 30 1985
E 30 2618
E 30 3006
E 30 3468
E 31 499
E 31 2444
E 31 3430
E 31 4284
E 32 591
E 32 2697
E 33 923
E 33 2447
E 33 2742
E 33 2806
E 34 479
E 34 2680
E 34 3330
E 35 1598
E 35 2901
E 35 4596
E 36 2874
E 36 3010
E 36 3531
E 36 3535
E 36 4289
E 37 739
E 37 2297
E 37 3149
E 37 3870
E 38 3247
E 38 4955
E 39 1599
E 39 1794
E 39 4864
E 40 740
E 40 4848
E 41 2845
E 42 442
E 42 1712
E 42 3505
E 42 3860
E 42 4479
E 42 4518
E 42 4749
E 42 4954
E 43 87
E 43 353
E 43 1155
E 44 935
E 44 1538
E 44 1682
E 44 2948
E 44 4849
E 44 4929
E 45 902
E 45 1632
E 45 4340
E 46 541
E 46 1719
E 46 2487
E 46 4102
E 46 4457
E 46 4759
E 47 2341
E 47 4718
E 48 450
E 48 2254
E 48 3621
E 48 3998
E 49 1901
E 49 2324
E 49 2902
E 49 4327
E 49 4782
E 50 883
E 50 1670
E 51 1058
E 51 1424
E 51 1811
E 51 3291
E 51 4048
E 51 4202
E 51 4757
E 51 4882
E 52 1227
E 52 3679
E 52 3710
E 52 4470
E 53 2850
E 53 3344
E 53 3664
E 54 2590
E 54 3288
E 54 3959
E 54 4836
E 55 42
E 55 51
E 55 1418
E 55 1464
E 55 2438
E 55 2845
E 55 3526
E 56 752
E 56 1044
E 56 1794
E 56 2638
E 56 3197
E 57 304
E 57 418
E 57 2410
E 57 2698
E 57 3121
E 57 4037
E 57 4236
E 58 18
E 58 1459
E 58 1569
E 58 3254
E 58 4047
E 59 327
E 59 1502
E 59 1958
E 59 2958
E 59 3422
E 59 3923
E 59 3952
E 59 4212
E 60 189
E 60 722
E 60 899
E 60 1669
E 60 2493
E 60 2526
E 60 2672
E 60 3735
E 60 3931
E 60 4532
E 60 4824
E 61 185
E 61 1706
E 61 2961
E 61 4783
E 61 4790
E 62 166
E 62 1777
E 62 3020
E 62 3030
E 62 3101
E 62 3518
E 63 206
E 63 394
E 63 851
E 63 1232
E 63 2413
E 63 4316
E 63 4568
E 63 4840
E 64 159
E 64 745
E 64 3742
E 64 3854
E 65 103
E 65 393
E 65 2530
E 65 3793
E 65 3816
E 66 1529
E 66 3272
E 66 3443
E 66 3453
