ordre 50000
E 0 10844
E 0 14700
E 0 20948
E 0 30763
E 0 40600
E 1 1538
E 1 17452
E 1 21641
E 1 24266
E 1 26513
E 1 27466
E 1 29329
E 1 29550
E 1 32926
E 1 48846
E 2 4215
E 2 8291
E 2 16150
E 2 25101
E 2 27509
E 2 31203
E 2 44059
E 3 1001
E 3 2727
E 3 11770
E 3 38011
E 4 2078
E 4 3166
E 4 17386
E 4 19833
E 4 27604
E 5 26610
E 6 31242
E 6 45045
E 7 1264
E 7 8649
E 7 10064
E 7 19920
E 7 22460
E 7 27706
E 7 27853
E 7 34063
E 7 41118
E 7 41829
E 8 7465
E 8 45483
E 8 46883
E 9 6931
E 9 32239
E 9 39248
E 9 48874
E 10 14732
E 10 17500
E 10 27372
E 10 31745
E 10 32841
E 10 33447
E 10 40672
E 11 17247
E 11 17761
E 11 26026
E 12 4772
E 12 21982
E 12 23671
E 12 27076
E 12 40706
E 13 4164
E 13 9696
E 13 10369
E 13 15854
E 13 25189
E 13 31716
E 13 34766
E 13 48724
E 14 947
E 14 12872
E 14 18566
E 14 19269
E 14 23858
E 14 31835
E 14 31922
E 15 21916
E 15 27024
E 15 41068
E 16 10745
E 16 12991
E 16 14584
E 16 21912
E 16 22566
E 16 29595
E 16 36078
E 16 43443
E 17 6001
E 17 22056
E 17 29057
E 17 37631
E 17 38834
E 17 44800
E 18 6063
E 18 16028
E 19 14236
E 19 28340
E 19 28677
E 19 41511
E 19 43961
E 20 2247
E 20 10518
E 20 25294
E 21 1706
E 21 9359
E 21 22800
E 21 24459
E 21 25228
E 21 26867
E 21 27979
E 21 31274
E 22 8622
E 22 14072
E 22 31119
E 22 39038
E 23 36424
E 23 38928
E 23 46920
E 24 5253
E 24 6229
E 24 19589
E 24 25195
E 24 41944
E 25 9175
E 25 13242
E 25 19491
E 25 27706
E 25 30202
E 25 31554
E 25 45869
E 25 49429
E 26 4829
E 26 10747
E 26 10964
E 26 12682
E 26 44722
E 27 4976
E 27 14337
E 27 16505
E 27 23234
E 27 25604
E 27 27614
E 27 31306
E 27 38303
E 27 43389
E 27 46861
E 28 1877
E 28 2155
E 28 5655
E 28 9677
E 28 22506
E 28 28848
E 28 38623
E 28 41941
E 28 42089
E 29 1124
E 29 9677
E 29 39391
E 29 41948
E 29 41989
E 29 46378
E 29 48681
E 30 7427
E 30 8861
E 30 9836
E 30 12999
E 30 23178
E 31 19157
E 31 37206
E 32 13236
E 32 16787
E 32 22741
E 32 28419
E 32 42123
E 33 1690
E 33 3267
E 33 36232
E 34 30096
E 34 30492
E 34 39547
E 34 47056
E 34 49597
E 35 1071
E 35 13447
E 35 14661
E 35 17663
E 35 20295
E 35 29254
E 35 34356
E 35 35554
E 35 42739
E 35 42824
E 36 3216
E 36 22214
E 36 31146
E 36 31453
E 37 12214
E 37 24213
E 37 29200
E 37 43146
E 37 44682
E 37 46253
E 38 52
E 38 7906
E 38 10229
E 38 18779
E 38 26955
E 38 29257
E 38 32201
E 38 42652
E 39 2591
E 39 12211
E 39 21410
E 39 29477
E 40 964
E 40 6359
E 40 19247
E 40 35052
E 40 39053
E 41 3408
E 41 8140
E 41 11164
E 41 13135
E 41 13274
E 41 19861
E 41 43559
E 41 48823
E 42 4445
E 42 10805
E 42 18234
E 42 33192
E 42 41711
E 42 45816
E 43 1363
E 43 7714
E 43 7827
E 43 16916
E 43 18655
E 43 19578
E 43 39556
E 43 40857
E 44 5778
E 44 42425
E 45 19551
E 45 34732
E 46 4922
E 46 12264
E 46 32721
E 47 6319
E 47 37427
E 47 39905
E 48 24400
E 49 2181
E 49 7966
E 49 10285
E 49 23323
E 49 25630
E 49 28719
E 49 38204
E 49 45345
E 50 2244
E 50 7532
E 50 20192
E 50 32329
E 50 47551
E 51 6118
E 51 13501
E 51 22343
E 51 25595
E 51 27873
E 52 5024
E 52 19346
E 52 34071
E 53 5448
E 53 21285
E 53 29079
E 53 47768
E 54 25661
E 54 33748
E 54 45595
E 55 5907
E 55 12607
E 55 18578
E 55 26493
E 55 30634
E 55 44884
E 55 45969
E 56 9965
E 56 33511
E 56 34631
E 56 37188
E 57 11734
E 57 26628
E 57 28434
E 57 47964
E 57 49156
E 58 16266
E 58 28077
E 58 34766
E 58 44425
E 59 18858
E 59 22457
E 59 28734
E 59 31778
E 59 46199
E 60 9544
E 60 11793
E 60 13577
E 60 25875
E 60 27493
E 60 43576
E 61 19043
E 61 21204
E 61 27870
E 61 37618
E 62 20859
E 62 30570
E 62 47087
E 63 19365
E 63 33943
E 63 34358
E 63 34940
E 63 45524
E 64 7510
E 64 9398
E 64 11088
E 64 19606
E 64 28073
E 64 31900
E 64 35572
E 65 16450
E 65 16698
E 65 18180
E 65 19406
E 65 21900
E 65 32057
E 65 49239
E 66 4057
E 66 14174
E 66 17269
E 66 21954
E 66 30863
E 67 13610
E 67 23023
E 68 2808
E 68 11715
E 68 22508
E 68 40063
E 68 45164
E 69 8061
E 69 11440
E 69 31731
E 69 35228
E 70 44839
E 70 46441
E 70 46817
E 70 49224
E 71 29013
E 71 32180
E 71 34707
E 71 36276
E 71 45848
E 72 5072
E 72 8635
E 72 11729
E 72 14954
E 72 22399
E 72 27438
E 72 29196
E 72 33287
E 72 39424
E 72 47561
E 73 606
E 73 4146
E 73 7273
E 73 30026
E 73 41865
E 74 12847
E 74 23968
E 74 31056
E 74 32219
E 74 37753
E 75 1606
E 75 3418
E 75 12369
E 75 15704
E 75 36782
E 75 37510
E 75 39166
E 76 15077
E 76 23763
E 76 28910
E 76 33940
E 76 38345
E 76 46280
E 77 13217
E 77 13690
E 78 2949
E 78 27542
E 78 28721
E 78 36935
E 78 36978
E 79 3624
E 79 14495
E 79 18924
E 79 39452
E 80 2129
E 80 4347
E 80 29640
E 80 31227
E 80 32143
E 80 43028
E 80 46381
E 81 13152
E 81 30845
E 81 38045
E 81 41278
E 81 46862
E 82 10026
E 82 11069
E 82 13870
E 82 20754
E 83 8252
E 83 17752
E 83 26107
E 84 3982
E 84 7109
E 84 16580
E 84 28937
E 84 31743
E 84 38546
E 85 19284
E 85 34081
E 85 39592
E 86 2821
E 86 10143
E 86 16843
E 86 28665
E 87 10153
E 87 22913
E 87 25292
E 88 5428
E 88 5937
E 88 6781
E 88 7035
E 88 7658
E 88 14131
E 88 20535
E 88 45137
E 89 12131
E 89 19743
E 89 21369
E 89 27828
E 89 40855
E 90 10806
E 90 17266
E 90 20643
E 90 32718
E 90 33956
E 90 49697
E 91 7288
E 91 15219
E 91 16910
E 91 18600
E 91 38318
E 91 44014
E 91 48098
E 92 31352
E 92 43889
E 92 46328
E 92 46853
E 92 49168
E 93 695
E 93 14277
E 93 16126
E 93 16842
E 93 19275
E 93 21025
E 93 21250
E 93 33585
E 93 35044
E 93 38452
E 94 5916
E 94 9598
E 94 9622
E 94 10630
E 94 11895
E 94 18340
E 94 32498
E 95 4790
E 95 23476
E 95 36647
E 95 43429
E 95 44702
E 96 11838
E 96 16448
E 96 18825
E 96 31263
E 96 34956
E 96 36177
E 97 2114
E 97 12177
E 97 25177
E 97 29207
E 97 33235
E 97 36142
E 98 830
E 98 14162
E 98 18572
E 98 43776
E 99 8715
E 99 26394
E 99 32630
E 99 41288
E 100 39171
E 100 43709
E 100 45777
E 101 1024
E 101 27619
E 101 29598
E 102 1389
E 102 5867
E 102 14192
E 102 18341
E 102 24668
E 102 26288
E 102 29953
E 102 34689
E 102 36681
E 103 4165
E 103 26484
E 103 45743
E 103 46782
E 104 3202
E 104 6174
E 104 16944
E 104 18959
E 104 29268
E 104 29384
E 104 31948
E 104 43053
E 105 2157
E 105 21051
E 105 37651
E 105 43354
E 105 48438
E 106 8955
E 106 19312
E 106 23542
E 106 45150
E 106 46877
E 107 26921
E 107 37170
E 107 43556
E 107 46041
E 107 47702
E 108 10398
E 108 25376
E 108 27968
E 108 30354
E 108 40834
E 108 43074
E 108 45147
E 109 15823
E 109 21823
E 109 29746
E 109 33064
E 109 46535
E 110 17910
E 110 42311
E 110 47967
E 111 2601
E 111 5159
E 111 28772
E 111 49600
E 111 49848
E 112 4250
E 112 4590
E 112 26341
E 112 27511
E 112 28881
E 113 20100
E 113 22491
E 113 26791
E 113 32512
E 113 37697
E 113 43656
E 114 10845
E 114 19501
E 114 22369
E 114 25732
E 114 35421
E 114 39373
E 115 5868
E 115 6986
E 115 8553
E 115 8970
E 115 16118
E 115 21390
E 115 28260
E 115 28641
E 115 29625
E 115 29759
E 115 33098
E 115 34643
E 116 8053
E 116 14653
E 116 20456
E 116 24015
E 116 26968
E 116 35134
E 116 35960
E 116 45236
E 117 7420
E 117 21217
E 117 39507
E 117 42086
E 117 49197
E 118 319
E 118 1255
E 118 5452
E 118 19895
E 118 40730
E 118 45032
E 119 4681
E 119 7516
E 119 16123
E 119 32798
E 119 38518
E 120 30708
E 120 33764
E 120 36957
E 120 38671
E 121 253
E 121 9993
E 121 12412
E 122 4237
E 122 7958
E 122 38575
E 123 15283
E 123 33055
E 123 42044
E 123 43882
E 124 19480
E 125 11953
E 125 12878
E 125 13638
E 125 15316
E 125 39116
E 126 2006
E 126 5196
E 126 8758
E 126 14272
E 126 40366
E 126 46401
E 127 3670
E 127 12200
E 127 17158
E 127 23394
E 127 38119
E 128 3103
E 128 16094
E 128 19078
E 128 21876
E 128 29524
E 129 10037
E 129 22358
E 129 25560
E 129 33351
E 129 43391
E 129 48022
E 130 5109
E 130 5788
E 130 36579
E 131 1567
E 131 14664
E 131 31106
E 131 34169
E 132 7113
E 132 11017
E 132 18226
E 132 21431
E 132 25184
E 132 32733
E 132 41867
E 133 1404
E 133 19413
E 133 33945
E 133 41899
E 133 45796
E 134 1210
E 134 2624
E 134 6197
E 134 13927
E 134 23396
E 134 34550
E 135 7174
E 135 11407
E 135 24586
E 136 15138
E 136 18259
E 136 24676
E 136 26189
E 136 28129
E 136 32954
E 136 39635
E 137 5312
E 137 7236
E 137 14494
E 137 21556
E 137 41023
E 137 41246
E 138 9018
E 138 30566
E 138 39040
E 139 6055
E 139 9318
E 139 13798
E 139 33571
E 139 41189
E 139 49219
E 140 21116
E 140 32051
E 140 35359
E 140 39662
E 140 42761
E 140 46783
E 141 5948
E 141 9639
E 141 10925
E 141 20148
E 141 21149
E 141 25751
E 141 44046
E 141 49145
E 142 8497
E 142 17795
E 142 25377
E 142 27636
E 142 45411
E 143 14769
E 143 18191
E 143 27573
E 143 30271
E 143 34666
E 143 36085
E 143 39863
E 144 4615
E 144 21388
E 144 26212
E 144 40282
E 144 42917
E 145 642
E 145 36772
E 145 46495
E 146 13309
E 146 49035
E 147 10451
E 147 12877
E 147 16370
