ordre 10000
E 0 320
E 0 1426
E 0 5221
E 1 1160
E 1 2082
E 1 5399
E 1 5651
E 1 8933
E 2 4778
E 3 4111
E 3 5055
E 3 5665
E 3 8635
E 3 9382
E 4 7504
E 4 8164
E 5 760
E 5 1672
E 5 4314
E 5 4855
E 5 6536
E 5 9021
E 5 9254
E 6 1319
E 6 1894
E 6 2375
E 6 6046
E 6 6329
E 6 6997
E 6 8073
E 7 57
E 7 1721
E 7 2343
E 7 4452
E 7 4957
E 8 1114
E 8 1824
E 8 2393
E 8 3084
E 8 7772
E 9 4234
E 9 4235
E 9 4331
E 9 5313
E 9 5581
E 9 7669
E 10 2578
E 10 3197
E 10 5806
E 10 6037
E 10 8354
E 10 9448
E 11 867
E 11 1051
E 11 2091
E 11 2500
E 11 4382
E 11 4492
E 11 7472
E 12 1376
E 12 3232
E 12 4857
E 12 6920
E 12 6982
E 12 8251
E 12 9748
E 13 2318
E 13 4129
E 13 6133
E 13 6239
E 13 7852
E 13 8371
E 13 8835
E 13 8970
E 14 191
E 14 865
E 14 1197
E 14 3783
E 14 7666
E 14 8268
E 14 8707
E 15 1164
E 15 1557
E 15 2050
E 15 4664
E 15 7025
E 15 7965
E 16 6795
E 16 7227
E 17 150
E 17 3408
E 17 4560
E 17 7297
E 17 9161
E 18 646
E 18 1394
E 18 2547
E 18 7047
E 19 2049
E 19 2190
E 19 2427
E 19 2949
E 19 6244
E 19 7623
E 20 272
E 20 2993
E 20 7927
E 20 9768
E 21 2320
E 21 2399
E 21 4188
E 21 6404
E 22 758
E 22 825
E 22 2738
E 22 6458
E 22 8462
E 23 1450
E 23 2170
E 23 3603
E 23 3997
E 23 5878
E 23 8012
E 23 9088
E 24 547
E 24 2067
E 24 3015
E 24 5276
E 24 5896
E 24 7140
E 24 8634
E 24 9811
E 25 1011
E 25 2438
E 25 4844
E 25 5575
E 25 7495
E 25 7876
E 25 9422
E 25 9713
E 26 2166
E 26 2700
E 26 3662
E 26 4012
E 26 5830
E 26 6560
E 26 6849
E 26 7787
E 26 9488
E 27 1222
E 27 2210
E 27 5019
E 27 6227
E 27 8913
E 28 1038
E 28 1930
E 28 3951
E 29 891
E 29 1279
E 29 1370
E 29 2909
E 29 3273
E 29 6320
E 30 2390
E 30 3081
E 30 3084
E 30 3472
E 30 4444
E 30 5874
E 30 6038
E 30 7730
E 31 811
E 31 1379
E 31 4265
E 31 5542
E 31 5983
E 31 7825
E 32 1110
E 32 2528
E 32 5597
E 32 5884
E 32 7017
E 32 7269
E 32 8757
E 33 332
E 33 2528
E 33 5167
E 33 8626
E 33 8727
E 34 1378
E 34 3913
E 34 9739
E 35 142
E 35 1534
E 35 2196
E 35 4950
E 35 5320
E 35 5387
E 35 5727
E 35 7473
E 35 8113
E 36 1416
E 36 2934
E 36 3686
E 36 6378
E 36 6891
E 36 7304
E 36 7759
E 36 8453
E 37 887
E 37 4943
E 37 6538
E 38 2698
E 38 3096
E 38 3111
E 38 4223
E 38 4532
E 39 1846
E 39 4211
E 39 4338
E 39 4509
E 39 7874
E 39 8324
E 40 3423
E 41 107
E 41 1718
E 41 3096
E 41 6125
E 41 6715
E 41 9647
E 42 254
E 42 4342
E 42 5571
E 42 7614
E 43 2001
E 43 3685
E 43 6116
E 43 6283
E 43 7936
E 43 9545
E 44 202
E 44 320
E 44 3569
E 44 5028
E 44 5376
E 44 6803
E 44 9160
E 45 483
E 45 596
E 45 661
E 45 1953
E 45 4346
E 45 5432
E 45 9228
E 45 9342
E 46 2263
E 46 3055
E 46 6522
E 46 9359
E 47 584
E 47 2707
E 47 3040
E 47 3486
E 47 4750
E 47 4995
E 48 190
E 48 4084
E 48 8642
E 49 203
E 50 444
E 50 708
E 50 991
E 50 6991
E 50 8357
E 51 85
E 51 5255
E 52 1319
E 52 2263
E 52 3486
E 52 4507
E 52 6686
E 52 8255
E 53 263
E 53 274
E 53 1511
E 53 6171
E 53 7458
E 53 7987
E 54 5391
E 54 5665
E 54 9533
E 56 1710
E 56 3118
E 56 4222
E 56 4806
E 56 5955
E 56 6798
E 56 7453
E 56 7721
E 56 8874
E 57 270
E 57 3429
E 58 667
E 58 3369
E 58 3659
E 58 3702
E 58 3775
E 58 6963
E 58 9303
E 58 9845
E 59 2885
E 59 4046
E 59 5606
E 59 6942
E 60 5049
E 60 8025
E 60 9700
E 61 369
E 61 2307
E 61 6692
E 61 6930
E 61 7394
E 62 212
E 62 2669
E 62 3752
E 62 4224
E 62 7922
E 63 2537
E 63 4147
E 63 4987
E 63 5581
E 63 6694
E 64 1870
E 64 5432
E 64 6757
E 64 7879
E 64 8087
E 64 8545
E 64 9304
E 65 1618
E 65 3029
E 65 3493
E 65 4285
E 65 4961
E 65 5176
E 65 7256
E 65 8918
E 66 4764
E 66 9590
E 67 3611
E 67 4595
E 67 4920
E 67 5079
E 67 7891
E 67 8040
E 68 3324
E 68 6179
E 68 6991
E 69 139
E 69 928
E 69 4645
E 69 5307
E 69 5523
E 69 6795
E 69 7726
E 70 218
E 70 1329
E 70 2208
E 70 5379
E 70 8423
E 70 9261
E 71 1367
E 71 4537
E 71 6818
E 71 7664
E 71 7766
E 71 7906
E 72 864
E 72 1076
E 72 2001
E 72 3295
E 72 3749
E 72 6182
E 72 8881
E 73 1803
E 73 2052
E 73 2675
E 73 2968
E 73 5149
E 74 2974
E 74 3876
E 75 1824
E 75 4986
E 75 5760
E 75 7809
E 75 8779
E 75 9273
E 76 6091
E 76 7703
E 76 8712
E 77 656
E 77 2482
E 77 3758
E 77 4302
E 77 5630
E 77 7080
E 78 4711
E 78 9403
E 78 9647
E 79 6032
E 80 844
E 80 8941
E 81 2430
E 81 3818
E 82 624
E 82 2444
E 82 5956
E 83 603
E 83 2212
E 83 4768
E 83 5942
E 84 364
E 84 1108
E 84 3063
E 84 5415
E 85 9029
E 85 9221
E 85 9233
E 85 9432
E 86 511
E 86 5302
E 86 8147
E 86 8258
E 86 9817
E 87 2275
E 87 5230
E 87 7156
E 87 7396
E 88 3603
E 88 3725
E 88 6416
E 88 6592
E 88 7192
E 88 9958
E 89 3437
E 89 4023
E 89 6777
E 89 7619
E 89 9843
E 90 249
E 90 1423
E 90 2024
E 90 3876
E 90 4673
E 90 5407
E 90 5771
E 90 8356
E 91 741
E 91 4281
E 91 7451
E 91 9177
E 92 2490
E 92 2514
E 92 5825
E 92 6102
E 92 6583
E 92 7657
E 92 7856
E 92 8671
E 93 7533
E 94 391
E 94 3377
E 94 3877
E 94 3921
E 94 4056
E 94 4306
E 94 5289
E 94 7443
E 94 9274
E 95 566
E 95 1300
E 95 2610
E 95 3587
E 95 5336
E 95 8022
E 95 9101
E 96 1812
E 97 2224
E 97 5316
E 97 6907
E 97 9983
E 98 87
E 98 1380
E 99 314
E 99 373
E 99 1494
E 99 1763
E 99 1893
E 99 3532
E 100 292
E 100 2796
E 100 3533
E 100 4693
E 100 7124
E 100 8308
E 101 277
E 101 907
E 101 2838
E 101 7268
E 101 7994
E 103 641
E 103 1460
E 103 1569
E 103 3641
E 103 5406
E 103 7639
E 103 7801
E 104 50
E 104 512
E 104 1435
E 104 2515
E 104 4833
E 104 5513
E 104 7318
E 104 7708
E 105 450
E 105 1366
E 105 2652
E 105 4303
E 105 4871
E 105 8552
E 105 9585
E 106 232
E 106 4325
E 106 4963
E 106 6045
E 106 8948
E 106 9066
E 106 9496
E 106 9695
E 107 193
E 107 260
E 107 8536
E 107 8835
E 107 8948
E 108 1202
E 108 1540
E 108 3328
E 108 3594
E 109 316
E 109 8106
E 109 8285
E 109 9946
E 110 2177
E 110 5610
E 110 7127
E 111 134
E 111 986
E 111 1477
E 111 9383
E 111 9512
E 112 2191
E 112 2708
E 112 4804
E 112 5377
E 112 5474
E 112 6181
E 112 6390
E 112 7864
E 113 3970
E 113 4608
E 113 9015
E 114 2663
E 114 5240
E 114 6677
E 114 9362
E 114 9525
E 115 3298
E 115 3969
E 115 4979
E 115 5007
E 115 5279
E 115 8327
E 115 8547
E 115 8658
E 116 166
E 116 315
E 116 437
E 116 848
E 116 6234
E 116 6997
E 116 7270
E 117 716
E 117 2371
E 117 3216
E 117 6985
E 118 141
E 118 574
E 118 1293
E 118 2881
E 118 3792
E 118 4806
E 118 5280
E 118 7968
E 118 7971
E 118 9626
E 119 684
E 119 7372
E 119 9104
E 120 3520
E 120 5235
E 120 6448
E 120 9086
E 120 9474
E 121 28
E 121 2632
E 121 3688
E 121 7828
E 121 8888
E 122 2536
E 122 4707
E 122 7886
E 122 8139
E 123 302
E 123 1551
E 123 1922
E 123 2691
E 123 4098
E 123 6336
E 124 434
E 124 2145
E 124 3169
E 125 1694
E 125 5534
E 125 6881
E 125 7771
E 125 8614
E 126 3846
E 126 4040
E 126 4103
E 126 5882
E 126 7171
E 126 7677
E 127 404
E 127 2187
E 127 6816
E 128 1251
E 128 2765
E 128 6515
E 128 7078
E 128 8378
E 128 8668
E 128 8809
E 128 9839
E 129 505
E 129 2533
E 129 6535
E 129 8749
E 130 4389
E 130 9499
E 131 335
E 131 3544
E 131 3623
E 131 7507
E 132 1573
E 132 6980
E 132 9171
E 133 2625
E 133 3300
E 133 5543
E 133 5704
E 133 6042
E 134 698
E 134 953
E 134 2191
E 134 3131
E 134 3212
E 134 4673
E 134 6631
E 135 1458
E 136 1057
E 136 4912
E 136 4940
E 136 5596
E 136 5815
E 137 1587
E 137 3834
E 137 4552
E 137 5351
E 137 5394
E 137 6576
E 137 9809
E 138 931
E 138 941
E 138 6185
E 138 7421
E 138 8305
E 139 5590
E 139 6645
E 139 7717
E 140 1567
E 140 3470
E 140 3589
E 140 4643
E 140 5241
E 140 7447
E 141 821
E 141 2673
E 141 5092
E 141 6091
E 141 9613
E 142 14
E 142 3897
E 142 5588
E 142 8431
E 143 1971
E 143 3589
E 143 3961
E 143 6474
E 143 6927
E 143 9574
E 144 1317
E 144 4129
E 144 7126
E 144 8349
E 145 2738
E 145 4755
E 145 5322
E 145 7659
E 145 8835
E 146 4855
E 146 6013
E 146 6465
E 146 8341
E 146 9925
E 147 6829
E 147 7667
E 147 8408
E 147 8850
E 147 9027
E 148 303
E 148 628
E 148 3669
E 148 6856
E 148 8639
E 148 8824
E 149 974
E 149 2522
E 149 3073
E 149 3427
E 149 3630
E 149 4470
E 149 5652
E 149 7929
E 149 8597
E 150 348
E 150 1481
E 150 1903
E 150 2132
E 150 2695
E 150 4647
E 150 6118
E 150 8256
E 151 1244
E 151 1504
E 151 2619
E 151 3236
E 151 4891
E 152 266
E 152 6363
E 153 577
E 153 1126
E 153 2925
E 153 2988
E 153 5811
E 154 1344
E 154 4862
E 154 7004
E 154 9571
E 155 2198
E 155 2251
E 155 2255
E 155 4694
E 156 4230
E 156 6353
E 156 6929
E 156 8079
E 157 918
E 157 2490
E 157 2571
E 157 3705
E 158 1974
E 158 3445
E 159 2278
E 159 2739
E 159 7269
E 159 8920
E 160 1780
E 160 3570
E 160 4239
E 160 6100
E 160 6257
E 160 6719
E 160 6890
E 160 6905
E 160 7623
E 160 7897
E 161 2811
E 161 3361
